ID,Estado_de_la_desaparicion,Clasificacion_de_la_desaparicion,Fecha_de_la_desaparicion,Edad,Sexo,Pais,Ancestro,Estado_civil,Escolaridad,Pertenencia_grupal,Pais_de_desaparicion,Municio,Departamento,Contexto
176700,Aparecio Vivo,Sin Información,2023-01-16T00:00:00.000,42,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Comunidad LGBT,Colombia,Honda,Tolima,Desaparición
176702,Desaparecido,Sin Información,2023-02-03T00:00:00.000,16,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176704,Desaparecido,Sin Información,2023-01-29T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Siachoque,Boyacá,Desaparición
176705,Desaparecido,Sin Información,2023-02-02T00:00:00.000,38,Hombre,Cuba,Blanco,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda,Desaparición
176706,Desaparecido,Sin Información,2023-01-21T00:00:00.000,23,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Grupos étnicos,Colombia,Samaniego,Nariño,Desaparición
176707,Desaparecido,Sin Información,2023-01-19T00:00:00.000,33,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bello,Antioquia,Desaparición
176708,Desaparecido,Sin Información,2023-02-03T00:00:00.000,42,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176709,Desaparecido,Sin Información,2023-02-01T00:00:00.000,93,Hombre,Colombia,Mestizo,Viudo (a),Sin información,Religiosos,Colombia,Los Santos,Santander,Desaparición
176711,Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,28,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Medellín,Antioquia,Desaparición
176712,Aparecio Vivo,Sin Información,2023-02-03T00:00:00.000,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176713,Aparecio Vivo,Sin Información,2023-02-03T00:00:00.000,42,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
176715,Desaparecido,Sin Información,2023-01-25T00:00:00.000,42,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Venecia,Antioquia,Desaparición
176718,Aparecio Vivo,Sin Información,2023-02-05T00:00:00.000,44,Hombre,Colombia,Blanco,Unión Libre,Sin información,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
176719,Desaparecido,Sin Información,2023-02-03T00:00:00.000,55,Hombre,Colombia,Mestizo,Unión Libre,Sin información,Ninguno,Colombia,Malambo,Atlántico,Desaparición
176721,Aparecio Vivo,Sin Información,2023-02-04T00:00:00.000,28,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Ibagué,Tolima,Desaparición
176722,Desaparecido,Sin Información,2023-01-31T00:00:00.000,41,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Medellín,Antioquia,Desaparición
176723,Aparecio Vivo,Sin Información,2023-02-06T00:00:00.000,17,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176724,Aparecio Vivo,Sin Información,2023-02-06T00:00:00.000,13,Mujer,Colombia,Mestizo,Sin Información,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176725,Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,66,Hombre,Colombia,Negro,Soltero (a),Sin información,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
176727,Desaparecido,Sin Información,2023-02-06T00:00:00.000,11,Hombre,Venezuela,Mestizo,Sin Información,Educación inicial y educación preescolar,Ninguno,Colombia,Yumbo,Valle Del Cauca,Desaparición
176730,Desaparecido,Sin Información,2023-01-23T00:00:00.000,28,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176731,Aparecio Vivo,Sin Información,2023-01-10T00:00:00.000,18,Hombre,Sin Información,Blanco,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
176732,Desaparecido,Sin Información,2023-02-04T00:00:00.000,16,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Ninguno,Colombia,Barranquilla,Atlántico,Desaparición
176734,Desaparecido,Sin Información,2023-02-06T00:00:00.000,13,Mujer,Venezuela,Sin Información,Soltero (a),Educación básica primaria,Ninguno,Colombia,Rionegro,Antioquia,Desaparición
176735,Aparecio Vivo,Sin Información,2023-01-21T00:00:00.000,6,Hombre,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Pasto,Nariño,Desaparición
176737,Desaparecido,Sin Información,2023-01-29T00:00:00.000,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176740,Aparecio Vivo,Sin Información,2023-01-25T00:00:00.000,28,Mujer,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176741,Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,44,Hombre,Sin Información,Blanco,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca,Desaparición
176742,Desaparecido,Desaparición Presuntamente Forzada,2023-01-31T00:00:00.000,32,Hombre,Colombia,Negro,Sin Información,Sin información,Grupos étnicos,Colombia,Nuquí,Chocó,Desaparición
176743,Aparecio Vivo,Sin Información,2023-01-26T00:00:00.000,37,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Pasto,Nariño,Desaparición
176744,Desaparecido,Sin Información,2023-02-04T00:00:00.000,88,Mujer,Colombia,Mestizo,Viudo (a),Educación básica primaria,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176745,Desaparecido,Sin Información,2023-01-24T00:00:00.000,56,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176746,Aparecio Vivo,Sin Información,2023-02-02T00:00:00.000,28,Hombre,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pereira,Risaralda,Desaparición
176747,Aparecio Vivo,Sin Información,2023-02-03T00:00:00.000,18,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Ibagué,Tolima,Desaparición
176748,Desaparecido,Sin Información,2023-01-22T00:00:00.000,28,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176749,Desaparecido,Sin Información,2023-02-06T00:00:00.000,59,Hombre,Colombia,Mestizo,Viudo (a),Educación básica primaria,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
176750,Desaparecido,Sin Información,2023-01-18T00:00:00.000,78,Hombre,Colombia,Sin Información,Soltero (a),Sin escolaridad,Ninguno,Colombia,Salento,Quindio,Desaparición
176751,Aparecio Vivo,Sin Información,2023-02-04T00:00:00.000,33,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pasto,Nariño,Desaparición
176753,Aparecio Vivo,Sin Información,2023-02-07T00:00:00.000,49,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Sabaneta,Antioquia,Desaparición
176754,Desaparecido,Sin Información,2023-01-14T00:00:00.000,29,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176755,Aparecio Vivo,Sin Información,2023-02-01T00:00:00.000,45,Hombre,Colombia,Sin Información,Soltero (a),Educación inicial y educación preescolar,Sin información,Colombia,Medellín,Antioquia,Desaparición
176756,Desaparecido,Sin Información,2023-01-23T00:00:00.000,20,Hombre,Venezuela,Sin Información,Sin Información,Sin información,Persona en condición de desplazamiento,Colombia,Pamplona,Norte De Santander,Desaparición
176757,Desaparecido,Sin Información,2023-01-27T00:00:00.000,5,Mujer,Colombia,Sin Información,No Aplica,Educación inicial y educación preescolar,Sin información,Colombia,Bucaramanga,Santander,Desaparición
176758,Desaparecido,Sin Información,2023-02-04T00:00:00.000,33,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Caucasia,Antioquia,Desaparición
176760,Desaparecido,Sin Información,2023-02-07T00:00:00.000,14,Hombre,Colombia,Mestizo,Sin Información,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176761,Desaparecido,Sin Información,2023-01-19T00:00:00.000,21,Hombre,Venezuela,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176762,Aparecio Vivo,Sin Información,2023-02-04T00:00:00.000,28,Hombre,Venezuela,Mestizo,Soltero (a),Sin escolaridad,Otro,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176763,Aparecio Vivo,Sin Información,2023-02-07T00:00:00.000,92,Hombre,Colombia,Blanco,Casado (a),Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176765,Desaparecido,Sin Información,2023-02-05T00:00:00.000,14,Mujer,Colombia,Sin Información,Sin Información,Sin información,Campesinos (as) y/o trabajadores (as) del campo,Colombia,Neiva,Huila,Desaparición
176766,Aparecio Vivo,Sin Información,2023-02-03T00:00:00.000,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176767,Desaparecido,Sin Información,2023-02-01T00:00:00.000,26,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Pasto,Nariño,Desaparición
